	Element	Relevance	cycle	Pathway	pathway name	gene	gene_name	key_gene	energyRole	biogeoSubstrate	Metal	KO	References					Legenda	Legenda
238	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome o ubiquinol oxidase	cyoA	cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]	yes	A	Oxygen	Cu	K02297							
239	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome o ubiquinol oxidase	cyoB	cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]	yes	A	Oxygen	Cu	K02298							
240	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome o ubiquinol oxidase	cyoC	cytochrome o ubiquinol oxidase subunit III	yes	A	Oxygen	Cu	K02299							
241	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome o ubiquinol oxidase	cyoD	cytochrome o ubiquinol oxidase subunit IV	yes	A	Oxygen	Cu	K02300							
242	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome aa3-600 menaquinol oxidase	qoxA	cytochrome aa3-600 menaquinol oxidase subunit II [EC:7.1.1.5]	yes	A	Oxygen	Cu	K02826							
243	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome aa3-600 menaquinol oxidase	qoxB	cytochrome aa3-600 menaquinol oxidase subunit I [EC:7.1.1.5]	yes	A	Oxygen	Cu	K02827							
244	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome aa3-600 menaquinol oxidase	qoxC	cytochrome aa3-600 menaquinol oxidase subunit III [EC:7.1.1.5]	yes	A	Oxygen	Cu	K02828							
245	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome aa3-600 menaquinol oxidase	qoxD	cytochrome aa3-600 menaquinol oxidase subunit IV [EC:7.1.1.5]	yes	A	Oxygen	Cu	K02829							
246	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome c oxidase, prokaryotes	coxAC	cytochrome c oxidase subunit I+III [EC:1.9.3.1]	yes	A	Oxygen	Mo	K15408	https://pubmed.ncbi.nlm.nih.gov/8890912/						
247	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome c oxidase, cbb3-type	ccoNO	cytochrome c oxidase cbb3-type subunit I/II (ccoNO can replace the combination of ccoN and ccoO)	yes	A	Oxygen	//	K15862							
250	Photosynthesis	Biogeochemistry	Photosystem	Oxygenic photosynthesis	Photosystem II (psbABCDEF)	psbA	photosystem II P680 reaction center D1 protein	yes	D	Water	//	K02703							
254	Sulfur	Biogeochemistry	Sulfur	DMSORed	DMSO reduction, DMSO -> DMS (dms or dorA)	dmsB	dimethyl sulfoxide reductase iron-sulfur subunit	yes	A	DMSO	Fe	K00184							
255	Sulfur	Biogeochemistry	Sulfur	DMSORed	DMSO reduction, DMSO -> DMS (dms or dorA)	dmsC	dimethyl sulfoxide reductase membrane subunit	yes	A	DMSO	Mo	K00185							
